Date,Price,Open,High,Low,Vol.,Change
2018/4/9,"2,444.08","2,424.15","2,446.28","2,424.15",334.42M,0.006
2018/4/10,"2,450.74","2,439.94","2,454.36","2,419.55",356.39M,0.0027
2018/4/11,"2,444.22","2,456.53","2,458.99","2,441.20",355.19M,-0.0027
2018/4/12,"2,442.71","2,450.95","2,454.95","2,441.58",441.57M,-0.0006
2018/4/13,"2,455.07","2,449.42","2,457.85","2,442.35",395.89M,0.0051
2018/4/16,"2,457.49","2,466.04","2,466.16","2,449.97",347.17M,0.001
2018/4/17,"2,453.77","2,459.39","2,465.63","2,449.08",394.70M,-0.0015
2018/4/18,"2,479.98","2,467.55","2,486.73","2,467.55",647.29M,0.0107
2018/4/19,"2,486.10","2,483.26","2,490.57","2,476.51",727.03M,0.0025
2018/4/20,"2,476.33","2,478.59","2,485.15","2,472.37",531.72M,-0.0039
2018/4/23,"2,474.11","2,473.70","2,478.57","2,466.57",701.42M,-0.0009
2018/4/24,"2,464.14","2,478.47","2,479.32","2,454.44",524.28M,-0.004
2018/4/25,"2,448.81","2,444.19","2,453.54","2,436.51",466.10M,-0.0062
2018/4/26,"2,475.64","2,460.62","2,484.09","2,456.20",520.92M,0.011
2018/4/27,"2,492.40","2,497.75","2,508.13","2,484.19",464.96M,0.0068
2018/4/30,"2,515.38","2,502.29","2,515.38","2,500.22",746.29M,0.0092
2018/5/2,"2,505.61","2,515.75","2,516.57","2,501.71",807.59M,-0.0039
2018/5/3,"2,487.25","2,506.94","2,507.91","2,487.25",614.10M,-0.0073
2018/5/4,"2,461.38","2,486.47","2,487.77","2,461.38",612.02M,-0.0104
2018/5/8,"2,449.81","2,468.45","2,479.75","2,444.08",714.73M,-0.0047
2018/5/9,"2,443.98","2,450.71","2,451.86","2,428.79",593.37M,-0.0024
2018/5/10,"2,464.16","2,458.67","2,464.72","2,448.01",490.00M,0.0083
2018/5/11,"2,477.71","2,469.30","2,483.85","2,468.41",599.90M,0.0055
2018/5/14,"2,476.11","2,482.97","2,486.17","2,471.91",650.71M,-0.0006
2018/5/15,"2,458.54","2,476.87","2,480.22","2,456.20",712.62M,-0.0071
2018/5/16,"2,459.82","2,446.64","2,465.55","2,444.67",691.81M,0.0005
2018/5/17,"2,448.45","2,468.72","2,472.82","2,448.43",596.77M,-0.0046
2018/5/18,"2,460.65","2,459.73","2,461.95","2,452.34",431.38M,0.005
2018/5/21,"2,465.57","2,464.07","2,472.30","2,447.69",588.09M,0.002
2018/5/23,"2,471.91","2,462.98","2,476.86","2,460.07",752.68M,0.0026
2018/5/24,"2,466.01","2,477.48","2,481.31","2,457.84",638.12M,-0.0024
2018/5/25,"2,460.80","2,452.80","2,466.57","2,444.77",653.59M,-0.0021
2018/5/28,"2,478.96","2,465.00","2,482.40","2,463.14",708.36M,0.0074
2018/5/29,"2,457.25","2,476.70","2,479.68","2,457.18",571.84M,-0.0088
2018/5/30,"2,409.03","2,446.81","2,449.88","2,399.58",575.92M,-0.0196
2018/5/31,"2,423.01","2,428.83","2,430.15","2,415.50",816.93M,0.0058
2018/6/1,"2,438.96","2,419.63","2,445.31","2,418.11",603.02M,0.0066
2018/6/4,"2,447.76","2,444.62","2,452.67","2,441.25",438.93M,0.0036
2018/6/5,"2,453.76","2,450.39","2,455.78","2,432.81",501.36M,0.0025
2018/6/7,"2,470.58","2,468.26","2,478.67","2,466.01",474.15M,0.0069
2018/6/8,"2,451.58","2,467.88","2,468.27","2,449.11",530.16M,-0.0077
2018/6/11,"2,470.15","2,454.25","2,470.99","2,448.00",427.95M,0.0076
2018/6/12,"2,468.83","2,474.78","2,479.56","2,462.84",613.17M,-0.0005
2018/6/14,"2,423.48","2,450.86","2,451.95","2,422.37",533.45M,-0.0184
2018/6/15,"2,404.04","2,432.18","2,433.51","2,403.97",502.36M,-0.008
2018/6/18,"2,376.24","2,404.68","2,405.56","2,365.31",564.82M,-0.0116
2018/6/19,"2,340.11","2,373.12","2,379.49","2,336.54",606.30M,-0.0152
2018/6/20,"2,363.91","2,350.24","2,374.52","2,345.22",456.00M,0.0102
2018/6/21,"2,337.83","2,364.16","2,370.58","2,337.83",438.26M,-0.011
2018/6/22,"2,357.22","2,323.08","2,357.40","2,320.76",537.26M,0.0083
2018/6/25,"2,357.88","2,351.89","2,361.39","2,337.22",415.08M,0.0003
2018/6/26,"2,350.92","2,334.75","2,358.01","2,326.61",470.91M,-0.003
2018/6/27,"2,342.03","2,349.38","2,358.71","2,342.02",526.62M,-0.0038
2018/6/28,"2,314.24","2,327.37","2,335.35","2,310.80",414.37M,-0.0119
2018/6/29,"2,326.13","2,325.68","2,329.58","2,296.39",396.66M,0.0051
2018/7/2,"2,271.54","2,322.23","2,327.59","2,271.53",393.26M,-0.0235
2018/7/3,"2,272.76","2,285.88","2,287.39","2,252.36",366.03M,0.0005
2018/7/4,"2,265.46","2,270.95","2,280.81","2,261.34",315.10M,-0.0032
2018/7/5,"2,257.55","2,264.74","2,274.74","2,243.90",346.88M,-0.0035
2018/7/6,"2,272.87","2,261.44","2,283.75","2,247.35",344.43M,0.0068
2018/7/9,"2,285.80","2,276.92","2,294.61","2,267.25",352.64M,0.0057
2018/7/10,"2,294.16","2,299.09","2,305.84","2,292.13",339.92M,0.0037
2018/7/11,"2,280.62","2,277.22","2,287.08","2,262.77",422.99M,-0.0059
